Date,Value,Day of week,Percent change
1979-12-31,107.94,0,
1979-12-28,107.84,4,-0.09
1979-12-27,107.96,3,0.11
1979-12-26,107.78,2,-0.17
1979-12-24,107.66,0,-0.11
1979-12-21,107.59,4,-0.07
1979-12-20,108.26,3,0.62
1979-12-19,108.2,2,-0.06
1979-12-18,108.3,1,0.09
1979-12-17,109.33,0,0.95
1979-12-14,108.92,4,-0.38
1979-12-13,107.67,3,-1.15
1979-12-12,107.52,2,-0.14
1979-12-11,107.49,1,-0.03
1979-12-10,107.67,0,0.17
1979-12-07,107.52,4,-0.14
1979-12-06,108.0,3,0.45
1979-12-05,107.25,2,-0.69
1979-12-04,106.79,1,-0.43
1979-12-03,105.83,0,-0.9
1979-11-30,106.16,4,0.31
1979-11-29,106.81,3,0.61
1979-11-28,106.77,2,-0.04
1979-11-26,106.8,0,0.03
1979-11-23,104.67,4,-1.99
1979-11-21,103.89,2,-0.75
1979-11-20,103.69,1,-0.19
1979-11-19,104.23,0,0.52
1979-11-16,103.79,4,-0.42
1979-11-15,104.13,3,0.33
1979-11-14,103.39,2,-0.71
1979-11-13,102.94,1,-0.44
1979-11-12,103.51,0,0.55
1979-11-09,101.51,4,-1.93
1979-11-08,100.3,3,-1.19
1979-11-07,99.87,2,-0.43
1979-11-06,101.2,1,1.33
1979-11-05,101.82,0,0.61
1979-11-02,102.51,4,0.68
1979-11-01,102.57,3,0.06
1979-10-31,101.82,2,-0.73
1979-10-30,102.67,1,0.83
1979-10-29,100.71,0,-1.91
1979-10-26,100.57,4,-0.14
1979-10-25,100.0,3,-0.57
1979-10-24,100.44,2,0.44
1979-10-23,100.28,1,-0.16
1979-10-22,100.71,0,0.43
1979-10-19,101.6,4,0.88
1979-10-18,103.61,3,1.98
1979-10-17,103.39,2,-0.21
1979-10-16,103.19,1,-0.19
1979-10-15,103.36,0,0.16
1979-10-12,104.49,4,1.09
1979-10-11,105.05,3,0.54
1979-10-10,105.3,2,0.24
1979-10-09,106.63,1,1.26
1979-10-08,109.88,0,3.05
1979-10-05,111.27,4,1.27
1979-10-04,110.17,3,-0.99
1979-10-03,109.59,2,-0.53
1979-10-02,109.59,1,0.0
1979-10-01,108.56,0,-0.94
1979-09-28,109.32,4,0.7
1979-09-27,110.21,3,0.81
1979-09-26,109.96,2,-0.23
1979-09-25,109.68,1,-0.25
1979-09-24,109.61,0,-0.06
1979-09-21,110.47,4,0.78
1979-09-20,110.51,3,0.04
1979-09-19,108.28,2,-2.02
1979-09-18,108.0,1,-0.26
1979-09-17,108.84,0,0.78
1979-09-14,108.45,4,-0.36
1979-09-13,107.8,3,-0.6
1979-09-12,107.56,2,-0.22
1979-09-11,107.82,1,0.24
1979-09-10,107.96,0,0.13
1979-09-07,107.2,4,-0.7
1979-09-06,106.79,3,-0.38
1979-09-05,106.28,2,-0.48
1979-09-04,108.32,1,1.92
1979-08-31,109.19,4,0.8
1979-08-30,109.28,3,0.08
1979-08-29,108.98,2,-0.27
1979-08-28,109.06,1,0.07
1979-08-27,108.98,0,-0.07
1979-08-24,108.38,4,-0.55
1979-08-23,108.84,3,0.42
1979-08-22,108.82,2,-0.02
1979-08-21,108.93,1,0.1
1979-08-20,108.5,0,-0.39
1979-08-17,108.1,4,-0.37
1979-08-16,108.28,3,0.17
1979-08-15,107.7,2,-0.54
1979-08-14,107.32,1,-0.35
1979-08-13,107.09,0,-0.21
1979-08-10,105.8,4,-1.2
1979-08-09,105.57,3,-0.22
1979-08-08,106.02,2,0.43
1979-08-07,105.16,1,-0.81
1979-08-06,103.96,0,-1.14
1979-08-03,103.96,4,0.0
1979-08-02,104.3,3,0.33
1979-08-01,103.85,2,-0.43
1979-07-31,103.58,1,-0.26
1979-07-30,103.02,0,-0.54
1979-07-27,102.9,4,-0.12
1979-07-26,102.98,3,0.08
1979-07-25,102.64,2,-0.33
1979-07-24,101.82,1,-0.8
1979-07-23,101.48,0,-0.33
1979-07-20,101.69,4,0.21
1979-07-19,101.73,3,0.04
1979-07-18,101.2,2,-0.52
1979-07-17,102.16,1,0.95
1979-07-16,102.5,0,0.33
1979-07-13,102.24,4,-0.25
1979-07-12,102.97,3,0.71
1979-07-11,103.6,2,0.61
1979-07-10,104.34,1,0.71
1979-07-09,104.22,0,-0.12
1979-07-06,103.02,4,-1.15
1979-07-05,102.24,3,-0.76
1979-07-03,101.94,1,-0.29
1979-07-02,102.22,0,0.27
1979-06-29,102.86,4,0.63
1979-06-28,102.68,3,-0.17
1979-06-27,102.12,2,-0.55
1979-06-26,102.06,1,-0.06
1979-06-25,102.2,0,0.14
1979-06-22,102.54,4,0.33
1979-06-21,101.56,3,-0.96
1979-06-20,101.56,2,0.0
1979-06-19,101.6,1,0.04
1979-06-18,101.76,0,0.16
1979-06-15,102.08,4,0.31
1979-06-14,101.84,3,-0.24
1979-06-13,102.7,2,0.84
1979-06-12,102.72,1,0.02
1979-06-11,101.57,0,-1.12
1979-06-08,101.84,4,0.27
1979-06-07,101.84,3,0.0
1979-06-06,101.17,2,-0.66
1979-06-05,100.12,1,-1.04
1979-06-04,99.18,0,-0.94
1979-06-01,99.14,4,-0.04
1979-05-31,98.95,3,-0.19
1979-05-30,99.52,2,0.58
1979-05-29,100.16,1,0.64
1979-05-25,100.1,4,-0.06
1979-05-24,99.79,3,-0.31
1979-05-23,100.47,2,0.68
1979-05-22,100.19,1,-0.28
1979-05-21,100.06,0,-0.13
1979-05-18,100.03,4,-0.03
1979-05-17,99.26,3,-0.77
