,Date,Value,Day of week,Percent change,Month
1,2014-04-02,1888.48,2,0.46,April
2,2014-04-03,1888.22,3,-0.01,April
3,2014-04-04,1880.27,4,-0.42,April
4,2014-04-07,1852.76,0,-1.46,April
5,2014-04-08,1846.22,1,-0.35,April
6,2014-04-09,1862.41,2,0.88,April
7,2014-04-10,1851.7,3,-0.58,April
8,2014-04-11,1824.72,4,-1.46,April
9,2014-04-14,1825.0,0,0.02,April
10,2014-04-15,1830.16,1,0.28,April
11,2014-04-16,1854.16,2,1.31,April
12,2014-04-17,1863.18,3,0.49,April
13,2014-04-21,1867.54,0,0.23,April
14,2014-04-22,1878.73,1,0.6,April
15,2014-04-23,1876.83,2,-0.1,April
16,2014-04-24,1877.15,3,0.02,April
17,2014-04-25,1868.71,4,-0.45,April
18,2014-04-28,1863.81,0,-0.26,April
19,2014-04-29,1875.69,1,0.64,April
20,2014-04-30,1878.95,2,0.17,April
21,2014-05-01,1883.32,3,0.23,May
22,2014-05-02,1884.92,4,0.08,May
23,2014-05-05,1876.14,0,-0.47,May
24,2014-05-06,1875.7,1,-0.02,May
25,2014-05-07,1869.31,2,-0.34,May
26,2014-05-08,1879.56,3,0.55,May
27,2014-05-09,1872.8,4,-0.36,May
28,2014-05-12,1888.58,0,0.84,May
29,2014-05-13,1899.12,1,0.56,May
30,2014-05-14,1891.45,2,-0.4,May
31,2014-05-15,1875.26,3,-0.86,May
32,2014-05-16,1871.55,4,-0.2,May
33,2014-05-19,1879.21,0,0.41,May
34,2014-05-20,1876.51,1,-0.14,May
35,2014-05-21,1881.07,2,0.24,May
36,2014-05-22,1890.86,3,0.52,May
37,2014-05-23,1897.29,4,0.34,May
38,2014-05-27,1907.14,1,0.52,May
39,2014-05-28,1910.88,2,0.2,May
40,2014-05-29,1914.92,3,0.21,May
41,2014-05-30,1920.34,4,0.28,May
42,2014-06-02,1920.93,0,0.03,June
43,2014-06-03,1921.93,1,0.05,June
44,2014-06-04,1923.62,2,0.09,June
45,2014-06-05,1932.34,3,0.45,June
46,2014-06-06,1945.93,4,0.7,June
47,2014-06-09,1951.36,0,0.28,June
48,2014-06-10,1947.75,1,-0.18,June
49,2014-06-11,1944.72,2,-0.16,June
50,2014-06-12,1934.56,3,-0.52,June
51,2014-06-13,1932.5,4,-0.11,June
52,2014-06-16,1936.03,0,0.18,June
53,2014-06-17,1938.62,1,0.13,June
54,2014-06-18,1948.52,2,0.51,June
55,2014-06-19,1956.06,3,0.39,June
56,2014-06-20,1961.54,4,0.28,June
57,2014-06-23,1961.32,0,-0.01,June
58,2014-06-24,1958.26,1,-0.16,June
59,2014-06-25,1954.16,2,-0.21,June
60,2014-06-26,1952.29,3,-0.1,June
61,2014-06-27,1956.82,4,0.23,June
62,2014-06-30,1961.23,0,0.23,June
63,2014-07-01,1970.44,1,0.47,July
64,2014-07-02,1974.62,2,0.21,July
65,2014-07-03,1980.74,3,0.31,July
66,2014-07-07,1979.55,0,-0.06,July
67,2014-07-08,1967.93,1,-0.59,July
68,2014-07-09,1969.62,2,0.09,July
69,2014-07-10,1961.35,3,-0.42,July
70,2014-07-11,1964.15,4,0.14,July
