start date,start value,peak date,peak value,end date,end value,start to peak percent change,peak to end percent change
2024-01-12,4785.69,2024-01-26,4894.08,2024-01-26,4894.08,2.26,0.0
2024-02-08,4993.74,2024-02-22,5066.61,2024-02-22,5066.61,1.46,0.0
2024-03-08,5153.38,2024-03-21,5250.88,2024-03-21,5250.88,1.89,0.0
2023-01-13,3975.81,2023-01-27,4071.46,2023-01-27,4071.46,2.41,0.0
2023-02-08,4134.26,2023-02-08,4134.26,2023-02-22,3997.14,0.0,-3.32
2023-03-20,3936.76,2023-03-31,4083.46,2023-03-31,4083.46,3.73,0.0
2023-04-14,4138.2,2023-04-18,4154.92,2023-04-27,4106.76,0.4,-1.16
2023-05-10,4126.6,2023-05-19,4196.56,2023-05-23,4164.11,1.7,-0.77
2023-06-14,4364.84,2023-06-16,4427.96,2023-06-28,4375.28,1.45,-1.19
2023-07-18,4538.44,2023-07-31,4583.68,2023-07-31,4583.68,1.0,0.0
2023-08-15,4455.53,2023-08-15,4455.53,2023-08-28,4427.27,0.0,-0.63
2023-09-11,4479.33,2023-09-14,4495.34,2023-09-22,4336.94,0.36,-3.52
2023-10-16,4362.85,2023-10-17,4365.56,2023-10-27,4130.24,0.06,-5.39
2023-11-09,4368.67,2023-11-22,4556.74,2023-11-22,4556.74,4.3,0.0
2022-01-12,4727.77,2022-01-12,4727.77,2022-01-26,4379.01,0.0,-7.38
2022-02-14,4395.53,2022-02-16,4459.62,2022-02-28,4351.98,1.46,-2.41
2022-03-10,4239.04,2022-03-22,4495.55,2022-03-23,4478.44,6.05,-0.38
2022-04-13,4423.31,2022-04-20,4468.52,2022-04-27,4201.8,1.02,-5.97
2022-05-12,3911.84,2022-05-17,4062.32,2022-05-25,3962.18,3.85,-2.47
2022-06-08,4133.67,2022-06-08,4133.67,2022-06-22,3759.74,0.0,-9.05
2022-07-18,3860.54,2022-07-29,4109.68,2022-07-29,4109.68,6.45,0.0
2022-08-09,4124.7,2022-08-16,4301.52,2022-08-22,4162.47,4.29,-3.23
2022-09-12,4101.48,2022-09-12,4101.48,2022-09-23,3687.3,0.0,-10.1
2022-10-10,3620.14,2022-10-18,3724.66,2022-10-21,3702.66,2.89,-0.59
2022-11-10,3909.11,2022-11-23,4016.22,2022-11-23,4016.22,2.74,0.0
2021-01-14,3808.23,2021-01-26,3859.34,2021-01-28,3793.12,1.34,-1.72
2021-02-11,3908.19,2021-02-16,3937.14,2021-02-25,3869.53,0.74,-1.72
2021-03-09,3877.84,2021-03-16,3967.24,2021-03-22,3934.73,2.31,-0.82
2021-04-14,4136.28,2021-04-26,4188.27,2021-04-27,4184.78,1.26,-0.08
2021-05-12,4095.8,2021-05-25,4197.97,2021-05-25,4197.97,2.49,0.0
2021-06-09,4227.92,2021-06-15,4247.76,2021-06-22,4236.56,0.47,-0.26
