Monday,Monday_value,Day of week_x,Week,Friday,Friday_value,Day of week_y,change,change percent
2006-01-09,50480.940516652845,2,2,2006-01-06,50158.8116497782,6.0,322.128866874642,0.6422179000647563
2006-01-23,39722.97543024536,2,4,2006-01-20,40078.0739197088,6.0,-355.09848946343845,-0.8860168534416899
2006-01-30,41064.849765416606,2,5,2006-01-27,38648.02456491175,6.0,2416.825200504856,6.253424923298858
2006-02-06,42343.084345888936,2,6,2006-02-03,42467.63557804789,6.0,-124.55123215895583,-0.29328506394016923
2006-02-13,40752.13780149862,2,7,2006-02-10,39808.738329309184,6.0,943.3994721894342,2.3698301221841445
2006-02-27,41326.280552501325,2,9,2006-02-24,41605.67204117552,6.0,-279.3914886741986,-0.671522595279066
2006-03-06,40356.92975911129,2,10,2006-03-03,40338.69550364801,6.0,18.23425546328508,0.04520288828287984
2006-03-13,40184.0010545064,2,11,2006-03-10,40075.51003655686,6.0,108.49101794954186,0.2707164995544072
2006-03-20,39675.72259082461,2,12,2006-03-17,39477.67201065194,6.0,198.05058017266856,0.5016774548388521
2006-03-27,41785.75381691177,2,13,2006-03-24,42982.48765428975,6.0,-1196.7338373779785,-2.784235866019127
2006-04-03,39014.63026161354,2,14,2006-03-31,39260.13750991556,6.0,-245.50724830201943,-0.6253346622640177
2006-04-10,39422.76725426975,2,15,2006-04-07,39556.1700312754,6.0,-133.4027770056491,-0.33724897253746544
2006-04-24,37307.32297609346,2,17,2006-04-21,37054.75363304997,6.0,252.56934304349124,0.6816111788103185
2006-05-01,35405.53891491854,2,18,2006-04-28,35022.43672491796,6.0,383.10219000057987,1.093876456997089
2006-05-08,36998.78327574662,2,19,2006-05-05,35577.98736283472,6.0,1420.7959129118972,3.993469047088597
2006-05-15,34357.86515602892,2,20,2006-05-12,35557.54885511017,6.0,-1199.6836990812517,-3.373921256410897
2006-05-22,34171.56560314516,2,21,2006-05-19,33321.57677638903,6.0,849.9888267561255,2.5508661623672313
2006-06-05,35406.59983762304,2,23,2006-06-02,34216.21527475785,6.0,1190.3845628651907,3.479007111997471
2006-06-12,34338.60152892283,2,24,2006-06-09,34819.15727198718,6.0,-480.55574306434573,-1.3801475415114772
2006-06-19,34232.1702010859,2,25,2006-06-16,34455.38239683982,6.0,-223.21219575392024,-0.6478296864712575
2006-06-26,40340.22318987965,2,26,2006-06-23,38736.15342474124,6.0,1604.0697651384107,4.141014590555272
2006-07-03,40704.996758023306,2,27,2006-06-30,39902.1195252116,6.0,802.8772328117047,2.0121167556134902
2006-07-10,42323.43661285384,2,28,2006-07-07,42241.30235301282,6.0,82.13425984101923,0.1944406428443395
2006-07-17,39289.58984938216,2,29,2006-07-14,40348.00791229522,6.0,-1058.4180629130642,-2.6232226017546036
2006-07-24,42631.8522923005,2,30,2006-07-21,41000.72706583636,6.0,1631.125226464137,3.978283662738419
2006-07-31,40087.43447106391,2,31,2006-07-28,40786.680984221486,6.0,-699.2465131575736,-1.7143991525765
2006-08-07,48602.038136077805,2,32,2006-08-04,50145.36522494902,6.0,-1543.327088871214,-3.07770634822968
2006-08-14,50988.0612088542,2,33,2006-08-11,50541.35107281723,6.0,446.7101360369634,0.883850800492784
2006-08-21,46455.33707977807,2,34,2006-08-18,47608.02165874039,6.0,-1152.6845789623185,-2.4211982325686416
2006-08-28,50367.04100784985,2,35,2006-08-25,47342.35761126266,6.0,3024.683396587192,6.388958111092519
2006-09-11,48648.60595888546,2,37,2006-09-08,49536.42291440936,6.0,-887.8169555239001,-1.7922508394639214
2006-09-18,51986.73920006453,2,38,2006-09-15,51147.6303008196,6.0,839.1088992449295,1.6405626112290943
2006-09-25,49878.35914081427,2,39,2006-09-22,50947.12598465273,6.0,-1068.7668438384644,-2.0977961429275105
2006-10-02,48116.806200868494,2,40,2006-09-29,49682.0935053854,6.0,-1565.2873045169035,-3.150606574876381
2006-10-09,49564.14159128328,2,41,2006-10-06,49603.6843101288,6.0,-39.54271884552145,-0.0797173020421127
2006-10-16,47939.31544474122,2,42,2006-10-13,46887.7328217657,6.0,1051.5826229755257,2.2427670516143445
2006-10-23,47087.43362704514,2,43,2006-10-20,47646.7604850117,6.0,-559.32685796656,-1.1739032250524317
2006-10-30,49855.7164339794,2,44,2006-10-27,49004.05218237832,6.0,851.6642516010834,1.737946585379196
2006-11-06,50858.92565140777,2,45,2006-11-03,50265.659018360886,6.0,593.2666330468855,1.180262319509586
2006-11-13,48554.795186479314,2,46,2006-11-10,49259.48601496672,6.0,-704.690828487408,-1.4305687807487448
2006-11-20,49639.40522594938,2,47,2006-11-17,49122.52266577339,6.0,516.882560175989,1.0522313027220245
2006-11-27,52079.87781488156,2,48,2006-11-24,52407.93684624316,6.0,-328.0590313615976,-0.6259720399298916
2006-12-04,57883.537960101545,2,49,2006-12-01,56429.03937381942,6.0,1454.4985862821268,2.577571056361009
2006-12-11,55161.423963708,2,50,2006-12-08,55797.57360864409,6.0,-636.1496449360857,-1.1401027030278144
2006-12-18,56603.32901718795,2,51,2006-12-15,56887.53222029587,6.0,-284.2032031079216,-0.4995878569795402
