Monday,Friday,Monday_growth,Friday_growth,Growth difference
2014-04-07,2014-04-11,-1.46,-1.46,0.0
2014-04-21,2014-04-25,0.23,-0.45,-0.68
2014-04-28,2014-05-02,-0.26,0.08,0.34
2014-05-05,2014-05-09,-0.47,-0.36,0.11
2014-05-12,2014-05-16,0.84,-0.2,-1.04
2014-05-19,2014-05-23,0.41,0.34,-0.07
2014-06-02,2014-06-06,0.03,0.7,0.67
2014-06-09,2014-06-13,0.28,-0.11,-0.39
2014-06-16,2014-06-20,0.18,0.28,0.1
2014-06-23,2014-06-27,-0.01,0.23,0.24
2014-07-07,2014-07-11,-0.06,0.14,0.2
2014-07-14,2014-07-18,0.55,0.08,-0.47
2014-07-21,2014-07-25,0.05,-0.46,-0.51
2014-07-28,2014-08-01,-0.26,-1.08,-0.82
2014-08-04,2014-08-08,0.27,0.2,-0.07
2014-08-11,2014-08-15,0.96,0.07,-0.89
2014-08-18,2014-08-22,0.64,-0.08,-0.72
2014-08-25,2014-08-29,0.39,0.22,-0.17
2014-09-08,2014-09-12,0.12,-0.17,-0.29
2014-09-15,2014-09-19,-0.29,0.26,0.55
2014-09-22,2014-09-26,-0.64,-0.27,0.37
2014-09-29,2014-10-03,-0.18,1.06,1.24
2014-10-06,2014-10-10,0.43,-1.34,-1.77
2014-10-13,2014-10-17,-1.48,1.4,2.88
2014-10-20,2014-10-24,0.64,0.48,-0.16
2014-10-27,2014-10-31,0.11,1.14,1.03
2014-11-03,2014-11-07,0.47,0.29,-0.18
2014-11-10,2014-11-14,0.24,0.02,-0.22
2014-11-17,2014-11-21,0.0,0.83,0.83
2014-11-24,2014-11-28,0.17,0.02,-0.15
2014-12-01,2014-12-05,-0.61,0.26,0.87
2014-12-08,2014-12-12,-0.49,-1.2,-0.71
2014-12-15,2014-12-19,-0.83,1.44,2.27
2014-12-22,2014-12-26,0.22,0.18,-0.04
2014-12-29,2015-01-02,0.06,-0.61,-0.67
2015-01-05,2015-01-09,-1.13,0.2,1.33
2015-01-12,2015-01-16,-0.75,-0.11,0.64
