Monday,Friday,Monday_growth,Friday_growth,Growth difference
1997-01-06,1997-01-03,0.11,-0.79,0.9
1997-01-13,1997-01-10,-0.78,-0.85,0.07
1997-01-20,1997-01-17,-0.09,-0.53,0.44
1997-01-27,1997-01-24,-0.16,0.7,-0.86
1997-02-03,1997-01-31,-0.17,0.37,-0.54
1997-02-10,1997-02-07,0.48,-0.65,1.13
1997-02-24,1997-02-21,-0.71,-0.26,-0.45
1997-03-03,1997-02-28,-0.5,0.2,-0.7
1997-03-10,1997-03-07,-0.51,-0.65,0.14
1997-03-17,1997-03-14,-0.21,0.45,-0.66
1997-03-24,1997-03-21,-0.93,-0.17,-0.76
1997-04-07,1997-04-04,-0.12,-1.36,1.24
1997-04-14,1997-04-11,-1.41,1.27,-2.68
1997-04-21,1997-04-18,-0.7,0.39,-1.09
1997-04-28,1997-04-25,-1.93,-0.09,-1.84
1997-05-05,1997-05-02,-0.9,-1.86,0.96
1997-05-12,1997-05-09,-0.26,-1.19,0.93
1997-05-19,1997-05-16,-0.21,0.37,-0.58
1997-06-02,1997-05-30,0.23,-0.72,0.95
1997-06-09,1997-06-06,-0.52,-1.19,0.67
1997-06-16,1997-06-13,0.14,-0.46,0.6
1997-06-23,1997-06-20,0.1,1.26,-1.16
1997-06-30,1997-06-27,-0.34,0.34,-0.68
1997-07-14,1997-07-11,-0.37,-0.05,-0.32
1997-07-21,1997-07-18,-1.34,1.21,-2.55
1997-07-28,1997-07-25,0.14,0.19,-0.05
1997-08-04,1997-08-01,-0.33,-0.13,-0.2
1997-08-11,1997-08-08,-0.25,0.7,-0.95
1997-08-18,1997-08-15,-1.77,1.09,-2.86
1997-08-25,1997-08-22,0.76,-0.96,1.72
1997-09-08,1997-09-05,-0.03,-0.06,0.03
1997-09-15,1997-09-12,-1.02,-0.9,-0.12
1997-09-22,1997-09-19,0.38,-0.78,1.16
1997-09-29,1997-09-26,-0.34,-0.61,0.27
1997-10-06,1997-10-03,-0.81,-0.44,-0.37
1997-10-13,1997-10-10,0.29,-0.33,0.62
1997-10-20,1997-10-17,-1.61,-0.55,-1.06
1997-10-27,1997-10-24,2.25,4.36,-2.11
1997-11-03,1997-10-31,-1.09,-1.62,0.53
1997-11-10,1997-11-07,0.45,-0.15,0.6
1997-11-17,1997-11-14,-0.38,-1.72,1.34
1997-11-24,1997-11-21,0.48,0.57,-0.09
1997-12-01,1997-11-28,-0.82,-1.01,0.19
1997-12-08,1997-12-05,0.46,-0.5,0.96
1997-12-15,1997-12-12,-0.88,-0.58,-0.3
1997-12-22,1997-12-19,0.5,-1.2,1.7
1997-12-29,1997-12-26,-1.76,-0.94,-0.82
